Season,Lg,Team,GP,W,L,T,OL,PTS
2012-13,NHL,Chicago Blackhawks,48,36,7,,5,77
2011-12,NHL,Los Angeles Kings,82,40,27,,15,95
2010-11,NHL,Boston Bruins,82,46,25,,11,103
2009-10,NHL,Chicago Blackhawks,82,52,22,,8,112
2008-09,NHL,Pittsburgh Penguins,82,45,28,,9,99
2007-08,NHL,Detroit Red Wings,82,54,21,,7,115
2006-07,NHL,Anaheim Ducks,82,48,20,,14,110
2005-06,NHL,Carolina Hurricanes,82,52,22,,8,112
2003-04,NHL,Tampa Bay Lightning,82,46,22,8,6,106
2002-03,NHL,New Jersey Devils,82,46,20,10,6,108
2001-02,NHL,Detroit Red Wings,82,51,17,10,4,116
2000-01,NHL,Colorado Avalanche,82,52,16,10,4,118
1999-00,NHL,New Jersey Devils,82,45,24,8,5,103
1998-99,NHL,Dallas Stars,82,51,19,12,,114
1997-98,NHL,Detroit Red Wings,82,44,23,15,,103
1996-97,NHL,Detroit Red Wings,82,38,26,18,,94
1995-96,NHL,Colorado Avalanche,82,47,25,10,,104
1994-95,NHL,New Jersey Devils,48,22,18,8,,52
1993-94,NHL,New York Rangers,84,52,24,8,,112
1992-93,NHL,Montreal Canadiens,84,48,30,6,,102
1991-92,NHL,Pittsburgh Penguins,80,39,32,9,,87
1990-91,NHL,Pittsburgh Penguins,80,41,33,6,,88
1989-90,NHL,Edmonton Oilers,80,38,28,14,,90
1988-89,NHL,Calgary Flames,80,54,17,9,,117
1987-88,NHL,Edmonton Oilers,80,44,25,11,,99
1986-87,NHL,Edmonton Oilers,80,50,24,6,,106
1985-86,NHL,Montreal Canadiens,80,40,33,7,,87
1984-85,NHL,Edmonton Oilers,80,49,20,11,,109
1983-84,NHL,Edmonton Oilers,80,57,18,5,,119
1982-83,NHL,New York Islanders,80,42,26,12,,96
1981-82,NHL,New York Islanders,80,54,16,10,,118
1980-81,NHL,New York Islanders,80,48,18,14,,110
1979-80,NHL,New York Islanders,80,39,28,13,,91
1978-79,NHL,Montreal Canadiens,80,52,17,11,,115
1977-78,NHL,Montreal Canadiens,80,59,10,11,,129
